,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
121,Kodiak,1,US,1563337638,83,39.95,-94.76,27.22,2.1
122,Mehamn,75,NO,1563337638,93,71.03,27.85,7,3.1
123,Campbell River,90,CA,1563337638,93,50.02,-125.24,21,1.5
124,Chokurdakh,99,RU,1563337638,62,70.62,147.9,5.2,4.76
125,Vanimo,4,PG,1563337639,78,-2.67,141.3,28,7.58
126,Dingle,100,PH,1563337582,85,11,122.67,26.6,7.39
127,Makushino,0,RU,1563337639,75,55.21,67.25,17.1,6.02
128,Ulaangom,92,MN,1563337639,45,49.98,92.07,20.9,2.66
129,Jamestown,97,AU,1563337552,71,-33.21,138.6,10.3,6.04
130,Minggang,100,CN,1563337639,73,32.45,114.03,28.6,4.8
131,Saskylakh,100,RU,1563337639,66,71.97,114.09,7.4,7.86
133,Taoudenni,0,ML,1563337640,13,22.68,-3.98,35.9,5.09
134,Nowy Sacz,20,PL,1563337640,93,49.62,20.7,14.44,1
135,Pevek,1,RU,1563337640,93,69.7,170.27,0,5.67
136,Yabrud,0,SY,1563337640,49,33.97,36.66,22,1.5
137,Baiyin,20,CN,1563337640,41,36.55,104.13,25,1
138,Atar,51,MR,1563337640,37,20.52,-13.05,31.3,6.21
139,Kushiro,75,JP,1563337640,93,43.11,144.15,19,0.5
140,Sur,0,OM,1563337641,50,22.57,59.53,30.5,4.38
142,Saint Anthony,20,US,1563337641,37,43.97,-111.68,23,2.1
143,Klaksvik,100,FO,1563337641,100,62.23,-6.59,11,5.1
144,Mbanza-Ngungu,100,CD,1563337641,87,-5.25,14.87,20.2,1.43
145,Voh,76,NC,1563337641,62,-20.95,164.69,20.6,7.46
146,Geraldton,75,CA,1563337641,77,49.72,-86.95,17,2.1
147,Eirunepe,99,BR,1563337642,96,-6.66,-69.87,21.5,0.77
148,Meulaboh,100,ID,1563337642,77,4.14,96.13,27.3,3.42
149,Bethel,75,US,1563337642,49,60.79,-161.76,22,4.1
150,Zhangjiakou,100,CN,1563337642,83,40.77,114.88,17.1,1.12
151,Nanzhang,100,CN,1563337642,98,31.78,111.84,21.3,1.92
152,Hithadhoo,100,MV,1563337642,79,-0.6,73.08,27.2,6.83
153,Yaring,20,TH,1563337642,66,6.87,101.37,31,3.1
154,Upernavik,33,GL,1563337643,63,72.79,-56.15,8,2.87
155,Kulhudhuffushi,100,MV,1563337643,76,6.62,73.07,28.2,8.81
156,Powell,75,US,1563337643,94,40.16,-83.08,24.44,4.83
157,Codrington,0,AU,1563337643,43,-28.95,153.24,21,3.1
158,Genhe,33,CN,1563337643,37,50.78,121.52,26.1,1.87
159,Clyde River,90,CA,1563337217,100,70.47,-68.59,2,1.5
160,East London,0,ZA,1563337160,44,-33.02,27.91,15,3.1
161,Lompoc,90,US,1563337644,87,34.64,-120.46,19.44,3.1
162,Ketchikan,90,US,1563337607,100,55.34,-131.65,14,7.7
163,Sept-Iles,90,CA,1563337644,82,50.2,-66.38,17.22,2.6
164,Jacareacanga,39,BR,1563337644,62,-6.22,-57.76,24.8,0.8
166,Tiksi,100,RU,1563337644,85,71.64,128.87,3.3,3.14
167,Homer,90,US,1563337644,93,59.64,-151.54,17.78,3.1
168,Ambatolampy,75,MG,1563337644,81,-19.39,47.43,12,2.6
169,Tucumcari,1,US,1563337645,54,35.17,-103.73,26.67,3.1
170,Airai,84,TL,1563337645,48,-8.93,125.41,29.7,0.84
172,Suhbaatar,28,MN,1563337645,53,50.23,106.21,25.5,0.35
173,Seymchan,99,RU,1563337645,43,62.93,152.39,19,2.24
174,Puerto Leguizamo,97,CO,1563337645,94,-0.19,-74.78,21.8,0.4
175,Bemidji,75,US,1563337645,73,47.48,-94.89,23,1.5
176,Pingliang,100,CN,1563337646,90,35.54,106.68,17.1,1.4
177,Ponta do Sol,40,BR,1563337646,92,-20.63,-46,13.7,1
178,Aldan,10,RU,1563337646,37,58.61,125.39,23.3,1.28
179,Kavieng,0,PG,1563337646,66,-2.57,150.8,28.4,0.79
181,Port Blair,90,IN,1563337646,79,11.67,92.75,29,3.1
182,Macusani,100,PE,1563337646,94,-14.07,-70.43,0,1.32
183,Saint George,90,GR,1563337646,93,39.45,22.34,18,2.21
184,Vaini,75,IN,1563337647,78,15.34,74.49,25,4.1
185,Sisimiut,100,GL,1563337647,90,66.94,-53.67,6.8,1.03
186,Beringovskiy,100,RU,1563337647,84,63.05,179.32,12.6,1.25
187,Haines Junction,100,CA,1563337161,51,60.75,-137.51,14.3,3.65
188,Rome,0,IT,1563337421,63,41.89,12.48,21.11,1.5
190,Peace River,20,CA,1563337647,63,56.23,-117.29,17,2.6
191,Fairview,20,CA,1563337647,63,56.07,-118.38,17,2.6
192,Dikson,8,RU,1563337161,79,73.51,80.55,2.4,6.56
193,Berlevag,75,NO,1563337648,93,70.86,29.09,7,3.1
194,Caravelas,0,BR,1563337648,85,-17.73,-39.27,22,4.17
195,Markova,0,RU,1563337648,65,52.21,104.21,25,3
196,Kushima,75,JP,1563337648,78,31.5,131.29,29,2.6
197,Angoche,0,MZ,1563337648,90,-16.23,39.91,18.8,1.76
198,Stillwater,1,US,1563337648,74,36.12,-97.06,32.78,2.6
199,Kuusamo,0,FI,1563337649,81,65.96,29.19,10,0.5
200,Celestun,79,MX,1563337649,82,20.87,-90.4,28.4,9.79
201,Deputatskiy,100,RU,1563337649,80,69.3,139.9,7,2.34
202,Joacaba,0,BR,1563337561,93,-27.18,-51.5,4.8,1.04
204,Preobrazheniye,100,RU,1563337649,70,42.9,133.91,21,2.15
205,Nanortalik,100,GL,1563337649,96,60.14,-45.24,4.7,0.76
206,Manuk Mangkaw,80,PH,1563337649,80,4.8,119.85,28,10.22
207,Leh,0,IN,1563337650,33,34.16,77.58,5.3,1.71
209,Elliot,0,ZA,1563337650,31,-31.33,27.85,8.7,3.08
210,Minsk,75,BY,1563337614,93,53.9,27.56,13,2
211,Longyearbyen,75,NO,1563337158,75,78.22,15.63,6,2.6
212,Salalah,90,OM,1563337650,94,17.01,54.1,26,2.6
213,Lagoa,0,PT,1563337650,77,37.14,-8.45,19,3.6
214,Sioux Lookout,40,CA,1563337650,82,50.1,-91.92,19,1.16
215,Vagur,100,FO,1563337651,98,61.47,-6.81,10.5,7.41
216,Las Cruces,0,CL,1563337485,100,-33.5,-71.62,7,1.5
217,Miri,0,NG,1563337651,86,10.31,9.75,22,1.61
219,San Quintin,100,PH,1563337651,93,17.54,120.52,24,2.89
220,Rio Gallegos,0,AR,1563337546,86,-51.62,-69.22,0.5,4.59
221,Tual,54,ID,1563337651,83,-5.67,132.75,25.4,9.29
222,Jiujiang,79,CN,1563337651,71,29.73,115.99,30.8,3.42
223,Sovetskaya,0,RU,1563337652,77,44.78,41.17,16.11,3.58
224,Carutapera,70,BR,1563337652,95,-1.2,-46.02,23.5,2.42
225,Nalut,0,LY,1563337652,78,31.86,10.98,20.2,6.66
226,Spisska Nova Ves,20,SK,1563337652,93,48.94,20.56,15.56,1
227,Manhuacu,47,BR,1563337652,95,-20.26,-42.03,15.1,2.55
228,Srandakan,38,ID,1563337652,82,-7.94,110.25,23.6,6.56
229,General Pico,0,AR,1563337652,77,-35.66,-63.75,9.8,3.72
230,Kruisfontein,34,ZA,1563337158,49,-34,24.73,11.1,2
231,Kamenka,0,MD,1563337158,91,48.03,28.7,12.78,1.31
232,Bathsheba,40,BB,1563337653,78,13.22,-59.52,27,8.7
233,Lorengau,38,PG,1563337653,68,-2.02,147.27,29.2,1.54
234,Kaitangata,50,NZ,1563337653,62,-46.28,169.85,8.33,4.02
235,Yabelo,100,ET,1563337653,81,4.89,38.09,16.1,5.79
236,Zhigansk,100,RU,1563337653,91,66.77,123.37,12,5.33
237,Aksu,75,KZ,1563337654,32,52.04,76.93,28,1
238,San Andres,100,PH,1563337654,81,13.32,122.68,27,10.83
239,Leningradskiy,100,RU,1563337163,85,69.38,178.42,2.6,3.19
240,Alyangula,92,AU,1563337654,47,-13.85,136.42,27,5.1
241,Dicabisagan,100,PH,1563337654,97,17.08,122.42,22.5,3.13
242,Alugan,93,PH,1563337654,59,12.22,125.48,30.9,5.84
243,Careiro da Varzea,0,BR,1563337654,83,-3.2,-59.81,26,1.23
244,Ostrovnoy,100,RU,1563337655,98,68.05,39.51,5.3,2.23
246,Tura,0,RU,1563337655,46,64.27,100.22,26.7,1.23
247,Tapes,0,BR,1563337655,91,-30.67,-51.4,9.9,1.73
248,Adrar,0,DZ,1563337655,12,27.87,-0.29,34,6.7
249,Tarakan,20,ID,1563337505,70,3.3,117.63,30,2.6
250,Itoman,75,JP,1563337655,74,26.12,127.67,31,9.3
251,Huarmey,39,PE,1563337655,87,-10.07,-78.15,16.8,7.54
252,Pacific Grove,40,US,1563337656,72,36.62,-121.92,22.22,3.6
253,San Patricio,31,PY,1563337656,86,-26.98,-56.83,8.3,2.57
254,Kathmandu,40,NP,1563337656,69,27.71,85.32,26,1.5
255,Coolum Beach,0,AU,1563337656,58,-26.53,153.09,20.56,1.73
256,Touros,40,BR,1563337562,94,-5.2,-35.46,23,1.5
257,Harper,1,US,1563337656,69,30.3,-99.24,28,5.1
258,Lusaka,0,ZM,1563337657,78,-15.42,28.28,13,3.49
259,Ucluelet,100,CA,1563337656,89,48.94,-125.55,18.33,1.82
261,Hitoyoshi,75,JP,1563337657,74,32.2,130.77,29,1.5
263,Carnarvon,0,ZA,1563337657,34,-30.97,22.13,9.4,5.28
264,Mezen,11,RU,1563337657,81,65.85,44.24,10.2,5.33
265,Vao,12,EE,1563337217,89,59.1,26.19,12.4,1.87
266,Kirakira,100,SB,1563337657,83,-10.46,161.92,26.6,7.21
267,Gari,14,RU,1563337657,61,59.43,62.35,17.5,6.58
268,Mongo,100,CD,1563337658,87,-5.62,14.6,20.2,1.43
269,Naya Bazar,40,IN,1563337658,66,27.13,88.27,31,2.6
270,Zvenigorod,40,RU,1563337658,87,55.73,36.86,15.56,4
271,Kaeo,6,NZ,1563337658,96,-35.1,173.78,15,6.21
272,Tuy Hoa,35,VN,1563337658,54,13.08,109.3,31.4,3.91
273,Genteng,58,ID,1563337506,74,-8.36,114.15,24.5,2.39
274,Aykhal,75,RU,1563337659,49,65.95,111.51,21,6
275,Nuevo Progreso,40,US,1563337659,78,26.05,-97.95,29,3.1
276,Norman Wells,75,CA,1563337659,53,65.28,-126.83,22,2.1
277,Luba,100,PH,1563337659,93,17.32,120.7,24,2.89
279,Killybegs,100,IE,1563337659,93,54.63,-8.45,13.89,2.68
280,Waterloo,100,SL,1563337659,83,8.34,-13.07,25.6,9.48
282,Srednekolymsk,95,RU,1563337660,50,67.46,153.71,14.9,4.7
283,Cherskiy,100,RU,1563337660,60,68.75,161.3,7.8,3.68
284,Kampong Thum,74,KH,1563337568,75,12.71,104.89,28.8,2.5
285,Rundu,5,NA,1563337660,36,-17.91,19.77,11,1.5
286,Tenabo,90,MX,1563337660,94,20.04,-90.23,25,3.15
288,Porto Novo,40,BR,1563337660,93,-23.68,-45.44,8,1
289,Sao Filipe,85,CV,1563337218,77,14.9,-24.5,22.5,4.38
290,Ardmore,1,US,1563337660,94,34.99,-86.85,23.89,2.6
291,Kavaratti,99,IN,1563337661,77,10.57,72.64,28.5,10.21
292,Vila Franca do Campo,20,PT,1563337661,87,37.72,-25.43,16,1.5
293,Preston,40,GB,1563337661,87,53.76,-2.71,15.56,2.1
294,Husavik,95,CA,1563337661,64,50.56,-96.99,20,3.18
295,Chase,1,US,1563337661,69,38.35,-98.35,27.22,4.1
296,Clarence Town,0,AU,1563337661,42,-32.59,151.78,19.44,9.3
297,Sosua,20,DO,1563337662,94,19.77,-70.52,26.67,2.6
298,Bata,40,GQ,1563337662,100,1.87,9.77,25,2.1
299,Tuktoyaktuk,40,CA,1563337662,62,69.44,-133.03,12,6.7
300,Port Moresby,40,PG,1563337419,83,-9.47,147.16,27,7.7
301,Kitimat,90,CA,1563337662,93,54.02,-128.69,14,4.1
302,Sistranda,20,NO,1563337662,93,63.73,8.83,11.67,0.5
304,Maldonado,1,UY,1563337406,100,-34.91,-54.96,5,1.5
305,Mao,20,DO,1563337663,94,19.55,-71.08,26.67,2.6
306,Evensk,100,RU,1563337663,98,61.92,159.24,9.8,2.47
308,Kattivakkam,90,IN,1563337663,74,13.22,80.32,30,4.12
309,Visby,20,SE,1563337663,87,57.64,18.3,12,2.1
310,Atbasar,63,KZ,1563337663,65,51.81,68.36,19.4,6.78
311,Codo,40,ES,1563337663,88,41.33,-0.7,20.56,4.6
312,Upata,100,VE,1563337663,90,8.02,-62.41,24.44,0.45
313,Tyukalinsk,97,RU,1563337664,89,55.87,72.2,17.8,6.05
314,Brae,98,GB,1563337664,100,60.4,-1.35,12,3.1
315,Taltal,0,CL,1563337542,87,-25.41,-70.49,8.6,1.47
316,Pitkyaranta,94,RU,1563337664,76,61.57,31.48,12.5,5.69
317,Nikolskoye,0,RU,1563337162,82,59.7,30.79,15.56,1
318,Kabo,100,CF,1563337664,86,7.69,18.62,21.5,1.35
319,Nongan,75,CN,1563337664,65,44.43,125.17,26,4
320,Robertson,0,AU,1563337664,38,-34.59,150.59,18.33,9.8
321,Guerrero Negro,8,MX,1563337665,83,27.97,-114.04,20.5,6.14
322,Cayenne,75,GF,1563337665,94,4.94,-52.33,23,1.6
323,Rawson,0,AR,1563337665,89,-43.3,-65.11,5.9,3.43
325,Nizwa,0,OM,1563337665,30,22.93,57.53,30,0.92
326,Tasiilaq,13,GL,1563337665,87,65.61,-37.64,7,0.5
328,Camacha,40,PT,1563337665,72,33.08,-16.33,20,5.1
330,Aginskoye,8,RU,1563337666,34,51.11,114.54,27.5,3.1
331,Zyryanka,100,RU,1563337666,75,65.73,150.89,13,0.58
332,Faanui,19,PF,1563337666,78,-16.48,-151.75,24.5,9.54
333,Midland,1,US,1563337504,43,32,-102.08,31,5.7
334,Stavern,0,NO,1563337666,76,59,10.03,14,1
335,Netarhat,6,IN,1563337666,63,23.45,84.31,28.5,2.2
336,Narsaq,100,GL,1563337666,81,60.91,-46.05,9,2.1
337,Karratha,0,AU,1563337667,14,-20.74,116.85,24.5,11.21
338,Strezhevoy,20,RU,1563337619,78,60.73,77.6,23,4
339,Luderitz,0,NA,1563337667,75,-26.65,15.16,8,0.5
340,Qandala,8,SO,1563337667,51,11.47,49.87,30.7,12.38
341,Tonantins,66,BR,1563337667,97,-2.86,-67.77,22.1,0.68
342,Merauke,100,ID,1563337667,84,-8.49,140.4,25.1,10.1
343,Georgetown,0,GY,1563337162,94,6.8,-58.16,25,1
344,Soyo,100,AO,1563337667,93,-6.13,12.37,21.7,3.9
345,Teahupoo,40,PF,1563337668,57,-17.83,-149.27,26,2.1
346,Amga,4,RU,1563337668,36,60.89,131.98,23.8,4.59
347,Horki,90,BY,1563337668,93,54.29,30.98,12,1
348,Mayskiy,90,RU,1563337668,77,43.63,44.06,19,1
349,Chapada dos Guimaraes,0,BR,1563337668,73,-15.46,-55.75,23,3.1
350,Gornopravdinsk,40,RU,1563337668,87,60.06,69.92,20.7,1.96
351,Chester,40,GB,1563337416,87,53.19,-2.89,15.56,2.1
352,Yar-Sale,29,RU,1563337668,66,66.83,70.83,22.6,6.29
353,Wageningen,90,NL,1563337669,93,51.98,5.66,13.89,0.5
354,Songea,20,TZ,1563337669,93,-10.68,35.65,11,2.6
355,Bungu,10,TZ,1563337669,98,-7.63,39.06,18.5,2.11
357,Osmanabad,77,IN,1563337408,78,18.19,76.04,25.3,5.74
358,Bambous Virieux,40,MU,1563337218,68,-20.34,57.76,22,7.2
359,Salta,75,AR,1563337669,93,-24.79,-65.41,15,0.82
360,Jining,100,CN,1563337669,48,35.41,116.58,30.1,3.2
362,Hokitika,34,NZ,1563337670,72,-42.72,170.96,10.2,7.23
363,Rio Pomba,77,BR,1563337670,63,-21.28,-43.18,18.33,1.34
364,Usinsk,100,RU,1563337670,95,66,57.56,11.7,9.25
365,Chifeng,97,CN,1563337670,53,42.27,118.96,22.4,2.38
366,Wahpeton,1,US,1563337670,73,46.27,-96.61,23.89,2.1
367,Anadyr,0,RU,1563337218,42,64.73,177.51,20.56,4
368,Plouzane,90,FR,1563337670,93,48.38,-4.62,15,0.5
369,Ossora,71,RU,1563337670,77,59.24,163.07,17.2,2.84
370,Maniitsoq,100,GL,1563337671,97,65.42,-52.9,5.5,10.35
371,Comodoro Rivadavia,0,AR,1563337671,86,-45.87,-67.48,3,1
372,Biak,100,ID,1563337671,97,-0.91,122.88,16.9,2.3
373,Lasa,0,CY,1563337671,53,34.92,32.53,25,3.6
374,Filadelfia,81,PY,1563337671,58,-22.35,-60.04,14.4,2.27
375,Mareeba,99,AU,1563337671,53,-16.99,145.42,25.56,5.7
376,Shirokiy,100,RU,1563337672,80,53.87,39.17,18.89,2.32
377,Boende,38,CD,1563337672,94,-0.28,20.88,21.7,0.07
378,Melendugno,5,IT,1563337672,88,40.27,18.34,24,2.6
379,Barberton,0,SZ,1563337672,43,-25.78,31.05,12,2.6
380,Ouegoa,94,NC,1563337672,62,-20.34,164.44,20.8,7.04
381,Manjacaze,0,MZ,1563337672,92,-24.71,33.88,14.1,2.2
382,Vrangel,100,RU,1563337672,68,42.73,133.08,21.3,2.51
383,Pangnirtung,100,CA,1563337673,96,66.15,-65.72,6,1.6
384,Fort Nelson,20,CA,1563337673,49,58.81,-122.69,22,1.76
385,Nara,40,JP,1563337673,58,34.68,135.8,32.78,5.1
386,Doka,100,SD,1563337673,82,13.52,35.76,21.8,5.42
387,Kindu,0,CD,1563337673,81,-2.95,25.92,21.3,0.44
388,Chihuahua,96,MX,1563337673,31,28.66,-106.08,30.56,4.97
389,Lavrentiya,100,RU,1563337674,73,65.58,-170.99,13.5,3.9
391,Hamilton,90,CA,1563337429,100,43.26,-79.87,24.44,3.1
392,Nasice,0,HR,1563337674,93,45.49,18.09,16.11,2.6
393,Imbituba,0,BR,1563337001,62,-28.24,-48.67,15,3.6
394,Vikhorevka,20,RU,1563337603,88,56.12,101.17,21,2
395,Adeje,87,NG,1563337674,90,5.68,5.76,24.5,2.15
396,Muisne,32,EC,1563337674,90,0.61,-80.02,23.7,6.63
397,Santa Marta,75,CO,1563337674,74,11.24,-74.21,29,2.1
398,Sorland,0,NO,1563337675,82,67.67,12.69,9.8,6.31
399,Iracoubo,23,GF,1563337675,86,5.48,-53.21,23.8,1.81
400,Kidal,66,ML,1563337675,34,18.44,1.41,32.1,5.59
401,Gelemso,79,ET,1563337675,81,8.81,40.52,17.4,2.45
402,Talnakh,0,RU,1563337675,72,69.49,88.39,18,9
403,Dukat,100,AL,1563337675,61,40.25,19.57,21.67,0.89
404,Porto Belo,0,BR,1563337675,62,-27.15,-48.54,16.67,5.1
405,Loandjili,40,CG,1563337676,100,-4.77,11.87,20,3.43
406,Griffith,90,AU,1563337676,62,-34.29,146.06,13.33,6.2
407,Rocha,0,UY,1563337676,89,-34.48,-54.34,5.7,2.08
408,San Joaquin,100,PH,1563337676,85,10.59,122.14,26.7,7.67
410,Port Macquarie,0,AU,1563337514,34,-31.43,152.91,20.56,3.1
412,Pisco,90,PE,1563337160,82,-13.71,-76.2,16,1.5
414,Kennett,90,US,1563337676,100,36.24,-90.06,26,4.6
415,Olga,1,US,1563337677,73,34.11,-118.17,25,1.5
416,Lalibela,62,ET,1563337677,70,12.04,39.05,16.6,0.43
417,Sechura,0,PE,1563337677,89,-5.56,-80.82,17.4,5.89
418,Osa,92,RU,1563337677,79,57.28,55.46,15.6,0.71
419,Petropavlovsk-Kamchatskiy,20,RU,1563337677,64,53.05,158.65,24,6
420,Cockburn Town,68,TC,1563337159,80,21.46,-71.14,28.1,8.62
421,Gorontalo,100,ID,1563337677,71,0.54,123.06,28.2,4.79
422,Namibe,31,AO,1563337678,80,-15.19,12.15,20.1,5.87
423,Bozdar,40,PK,1563337678,66,27.18,68.64,31,2.1
424,Lithgow,72,AU,1563337678,37,-33.48,150.16,21,4.1
